trade_date,index,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20181116,0,601377.SH,5.15,5.48,5.13,5.32,5.16,0.16,3.1008,1361461.1,723149.39
20181115,1,601377.SH,5.0,5.18,4.97,5.16,5.0,0.16,3.2,994406.02,508453.768
20181114,2,601377.SH,5.04,5.1,4.96,5.0,5.07,-0.07,-1.3807,805169.98,404390.41
20181113,3,601377.SH,4.88,5.19,4.86,5.07,4.94,0.13,2.6316,1309459.13,658255.903
20181112,4,601377.SH,4.77,4.97,4.74,4.94,4.76,0.18,3.7815,722986.49,353799.158
20181109,5,601377.SH,4.76,4.83,4.71,4.76,4.76,0.0,0.0,466881.8,222733.996
20181108,6,601377.SH,4.9,4.93,4.71,4.76,4.84,-0.08,-1.6529,679832.58,328188.344
20181107,7,601377.SH,4.87,4.94,4.81,4.84,4.94,-0.1,-2.0243,601334.99,292825.634
20181106,8,601377.SH,4.99,5.08,4.8,4.94,5.0,-0.06,-1.2,862187.49,424571.904
20181105,9,601377.SH,5.08,5.1,4.92,5.0,5.09,-0.09,-1.7682,860481.33,431821.426
20181102,10,601377.SH,5.02,5.09,4.92,5.09,4.89,0.2,4.09,1060633.83,532790.816
20181101,11,601377.SH,4.96,5.21,4.85,4.89,4.9,-0.01,-0.2041,1394550.98,700299.749
20181031,12,601377.SH,4.9,4.97,4.82,4.9,4.97,-0.07,-1.4085,910419.78,445130.636
20181030,13,601377.SH,4.76,5.14,4.65,4.97,4.74,0.23,4.8523,1712006.34,843618.367
20181029,14,601377.SH,4.76,4.86,4.67,4.74,4.81,-0.07,-1.4553,789307.11,377758.531
20181026,15,601377.SH,4.99,5.02,4.75,4.81,5.07,-0.26,-5.1282,1736694.47,846809.504
20181025,16,601377.SH,4.62,5.08,4.57,5.07,4.81,0.26,5.4054,2056767.58,993007.009
20181024,17,601377.SH,4.61,4.97,4.58,4.81,4.75,0.06,1.2632,2423857.13,1155851.951
20181023,18,601377.SH,4.86,4.86,4.64,4.75,4.42,0.33,7.4661,3021360.4,1452823.184
20181022,19,601377.SH,4.1,4.42,4.07,4.42,4.02,0.4,9.9502,566451.81,243894.861
20181019,20,601377.SH,3.88,4.04,3.86,4.02,3.91,0.11,2.8133,442169.92,175845.713
20181018,21,601377.SH,3.93,3.97,3.9,3.91,3.96,-0.05,-1.2626,218311.57,85785.997
20181017,22,601377.SH,3.97,4.0,3.89,3.96,3.91,0.05,1.2788,219113.92,86552.683
20181016,23,601377.SH,3.9,3.99,3.89,3.91,3.91,0.0,0.0,177603.13,69962.479
20181015,24,601377.SH,3.98,3.99,3.91,3.91,3.91,0.0,0.0,162946.43,64424.702
20181012,25,601377.SH,4.02,4.02,3.88,3.91,4.04,-0.13,-3.2178,282984.08,112125.211
20181011,26,601377.SH,4.26,4.28,3.98,4.04,4.37,-0.33,-7.5515,414072.96,170752.575
20181010,27,601377.SH,4.36,4.4,4.35,4.37,4.35,0.02,0.4598,106944.81,46761.259
20181009,28,601377.SH,4.41,4.42,4.33,4.35,4.39,-0.04,-0.9112,159719.89,69891.762
20181008,29,601377.SH,4.5,4.51,4.38,4.39,4.54,-0.15,-3.304,229585.96,102326.189
20180928,30,601377.SH,4.5,4.56,4.49,4.54,4.5,0.04,0.8889,158561.77,71816.687
20180927,31,601377.SH,4.55,4.55,4.49,4.5,4.55,-0.05,-1.0989,167511.79,75650.744
20180926,32,601377.SH,4.54,4.61,4.52,4.55,4.54,0.01,0.2203,246607.79,112616.147
20180925,33,601377.SH,4.54,4.56,4.51,4.54,4.58,-0.04,-0.8734,160726.92,72884.384
20180921,34,601377.SH,4.49,4.58,4.46,4.58,4.48,0.1,2.2321,308965.68,140115.996
20180920,35,601377.SH,4.48,4.51,4.47,4.48,4.48,0.0,0.0,156356.02,70163.823
