trade_date,index,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20181116,0,603993.SH,4.19,4.22,4.15,4.18,4.18,0.0,0.0,1321265.68,552858.863
20181115,1,603993.SH,4.11,4.18,4.1,4.18,4.14,0.04,0.9662,1121498.12,464727.007
20181114,2,603993.SH,4.18,4.22,4.13,4.14,4.2,-0.06,-1.4286,1211976.5,506115.799
20181113,3,603993.SH,4.08,4.22,4.06,4.2,4.17,0.03,0.7194,1639585.26,682166.307
20181112,4,603993.SH,4.07,4.18,4.04,4.17,4.12,0.05,1.2136,1335948.02,549034.185
20181109,5,603993.SH,4.15,4.17,4.1,4.12,4.21,-0.09,-2.1378,1125854.54,465211.269
20181108,6,603993.SH,4.3,4.32,4.2,4.21,4.3,-0.09,-2.093,1751205.65,741711.337
20181107,7,603993.SH,4.42,4.49,4.27,4.3,4.09,0.21,5.1345,4036542.03,1773088.005
20181106,8,603993.SH,4.09,4.13,4.04,4.09,4.13,-0.04,-0.9685,968787.98,394908.849
20181105,9,603993.SH,4.12,4.2,4.08,4.13,4.19,-0.06,-1.432,1695284.11,700615.882
20181102,10,603993.SH,4.1,4.25,4.03,4.19,4.01,0.18,4.4888,2785307.23,1147648.838
20181101,11,603993.SH,4.06,4.12,3.99,4.01,4.07,-0.06,-1.4742,2109748.44,853065.401
20181031,12,603993.SH,3.93,4.11,3.87,4.07,3.88,0.19,4.8969,2282729.58,911493.013
20181030,13,603993.SH,3.8,3.92,3.78,3.88,3.76,0.12,3.1915,1331322.45,514628.718
20181029,14,603993.SH,3.82,3.83,3.74,3.76,3.84,-0.08,-2.0833,740708.01,279908.263
20181026,15,603993.SH,3.87,3.95,3.81,3.84,3.8,0.04,1.0526,1429520.41,554222.369
20181025,16,603993.SH,3.64,3.82,3.61,3.8,3.83,-0.03,-0.7833,960993.23,357004.092
20181024,17,603993.SH,3.74,3.88,3.74,3.83,3.78,0.05,1.3228,1097898.25,420755.175
20181023,18,603993.SH,3.92,3.93,3.75,3.78,3.92,-0.14,-3.5714,1237787.9,474357.358
20181022,19,603993.SH,3.69,4.0,3.65,3.92,3.65,0.27,7.3973,1972140.54,755526.725
20181019,20,603993.SH,3.5,3.68,3.44,3.65,3.57,0.08,2.2409,959786.65,343786.065
20181018,21,603993.SH,3.6,3.64,3.55,3.57,3.67,-0.1,-2.7248,797710.87,286532.968
20181017,22,603993.SH,3.75,3.79,3.56,3.67,3.7,-0.03,-0.8108,1232736.55,451227.369
20181016,23,603993.SH,3.74,3.78,3.66,3.7,3.71,-0.01,-0.2695,822165.72,305894.436
20181015,24,603993.SH,3.75,3.85,3.68,3.71,3.79,-0.08,-2.1108,923112.03,347166.401
20181012,25,603993.SH,3.81,3.87,3.54,3.79,3.88,-0.09,-2.3196,1632700.42,608671.895
20181011,26,603993.SH,4.11,4.15,3.88,3.88,4.31,-0.43,-9.9768,1976687.94,786196.72
20181010,27,603993.SH,4.39,4.4,4.25,4.31,4.35,-0.04,-0.9195,866964.27,374510.873
20181009,28,603993.SH,4.32,4.38,4.29,4.35,4.3,0.05,1.1628,710813.41,308709.015
20181008,29,603993.SH,4.45,4.47,4.28,4.3,4.56,-0.26,-5.7018,1231569.11,539878.802
20180928,30,603993.SH,4.6,4.61,4.51,4.56,4.61,-0.05,-1.0846,1486141.29,675965.197
20180927,31,603993.SH,4.63,4.67,4.56,4.61,4.63,-0.02,-0.432,914657.1,422476.886
20180926,32,603993.SH,4.63,4.69,4.6,4.63,4.63,0.0,0.0,1105709.46,513511.617
20180925,33,603993.SH,4.57,4.7,4.55,4.63,4.65,-0.02,-0.4301,1064746.79,494389.494
20180921,34,603993.SH,4.56,4.72,4.46,4.65,4.52,0.13,2.8761,1925316.93,887289.206
20180920,35,603993.SH,4.49,4.63,4.48,4.52,4.48,0.04,0.8929,1532094.62,698587.955
20180919,36,603993.SH,4.4,4.52,4.37,4.48,4.4,0.08,1.8182,1284112.91,572767.213
20180918,37,603993.SH,4.25,4.45,4.22,4.4,4.27,0.13,3.0445,1018492.6,439924.069
20180917,38,603993.SH,4.4,4.4,4.27,4.27,4.43,-0.16,-3.6117,717177.7,308810.513
20180914,39,603993.SH,4.43,4.53,4.4,4.43,4.43,0.0,0.0,1193152.31,532974.797
20180913,40,603993.SH,4.46,4.5,4.37,4.43,4.37,0.06,1.373,1025600.49,454287.828
20180912,41,603993.SH,4.28,4.43,4.24,4.37,4.29,0.08,1.8648,1152931.38,502239.124
20180911,42,603993.SH,4.28,4.32,4.19,4.29,4.29,0.0,0.0,840708.2,358217.815
20180910,43,603993.SH,4.47,4.47,4.28,4.29,4.48,-0.19,-4.2411,904530.26,394630.61
20180907,44,603993.SH,4.5,4.57,4.43,4.48,4.48,0.0,0.0,792126.03,355923.002
20180906,45,603993.SH,4.53,4.6,4.44,4.48,4.56,-0.08,-1.7544,848201.74,384086.738
20180905,46,603993.SH,4.69,4.69,4.55,4.56,4.72,-0.16,-3.3898,916377.89,424403.379
20180904,47,603993.SH,4.69,4.75,4.62,4.72,4.73,-0.01,-0.2114,1005298.4,471914.959
20180903,48,603993.SH,4.74,4.77,4.65,4.73,4.7,0.03,0.6383,889190.99,418867.183
20180831,49,603993.SH,4.77,4.79,4.67,4.7,4.81,-0.11,-2.2869,981559.65,463225.597
20180830,50,603993.SH,4.91,4.92,4.8,4.81,4.9,-0.09,-1.8367,1027990.71,498670.387
20180829,51,603993.SH,4.97,4.97,4.89,4.9,4.98,-0.08,-1.6064,919369.02,452198.257
20180828,52,603993.SH,4.97,5.04,4.88,4.98,4.91,0.07,1.4257,1773960.91,879958.157
20180827,53,603993.SH,4.84,4.92,4.82,4.91,4.81,0.1,2.079,1269619.3,619783.126
20180824,54,603993.SH,4.88,4.88,4.79,4.81,4.9,-0.09,-1.8367,856087.57,413484.138
20180823,55,603993.SH,4.85,4.93,4.82,4.9,4.84,0.06,1.2397,771261.26,376018.303
20180822,56,603993.SH,4.95,4.96,4.83,4.84,4.97,-0.13,-2.6157,875830.8,427692.221
20180821,57,603993.SH,4.95,5.01,4.89,4.97,4.94,0.03,0.6073,1133458.32,562356.557
20180820,58,603993.SH,4.84,4.95,4.8,4.94,4.8,0.14,2.9167,967959.15,471611.165
20180817,59,603993.SH,4.93,4.96,4.79,4.8,4.86,-0.06,-1.2346,853834.3,416312.074
20180816,60,603993.SH,4.76,4.93,4.72,4.86,4.86,0.0,0.0,833831.71,403449.549
20180815,61,603993.SH,5.0,5.03,4.85,4.86,5.01,-0.15,-2.994,857979.75,422400.693
20180814,62,603993.SH,5.03,5.04,4.96,5.01,5.05,-0.04,-0.7921,914444.47,456976.784
20180813,63,603993.SH,4.9,5.08,4.86,5.05,5.01,0.04,0.7984,1206045.8,600280.386
